code,name,race,icon,version,id_start,id_stop,max_cards,base_hp,hp_growth,Unnamed: 10,Unnamed: 11,Unnamed: 12,desc
BR,Brute,Inox,,gloomhaven,001,029,10.0,8.0,2.0,,,,A very simple tanky class who has a minor specialization in movement.
BS,,,,gloomhaven,624,653,,,,,,,
BT,The Beast Tyrant,,Two-Mini,gloomhaven,476,505,10.0,5.0,1.0,,,,
CH,Cragheart,Savvas,,gloomhaven,116,145,11.0,8.0,2.0,,,,A jack of all trades with a focus on area damage and obstacle use.
DS,Doomstalker,Orchid,Angry Face,gloomhaven,376,406,12.0,6.5,1.5,,,,
EL,Elementalist,Savvas,Triforce,gloomhaven,447,475,10.0,5.0,1.0,,,,
MT,Mindthief,Vermling,,gloomhaven,146,174,10.0,5.0,1.0,,,,A fairly complex melee attacker with a unique augment system who can use crowd control abilities to disable enemies.
NS,Nightshroud,Aesther,Eclipse,gloomhaven,261,288,9.0,6.5,1.5,,,,
PH,Plagueherald,Harrower,Cthulhu,gloomhaven,289,318,11.0,5.0,1.0,,,,
QM,Quartermaster,Valrath,Three Spears,gloomhaven,205,232,9.0,8.0,2.0,,,,
SC,Scoundrel,Human,,gloomhaven,088,89,9.0,6.5,1.5,,,,A high damage melee attacker who specializes in moving in and out of melee while gaining benefits from adjacent allies.
SK,Sunkeeper,Valrath,Sun,gloomhaven,175,204,11.0,8.0,2.0,,,,
SB,Sawbones,Human,Saw,gloomhaven,407,446,10.0,6.5,1.5,,,,
SS,Soothsinger,Quatryl,Music Note,gloomhaven,348,375,9.0,5.0,1.0,,,,
SU,Summoner,Aesther,Circles,gloomhaven,233,260,9.0,6.5,1.5,,,,
SW,Spellweaver,Orchid,,gloomhaven,061,087,8.0,5.0,1.0,,,,A somewhat complex ranged area attacker with a unique stamina system that allows her to play losses more freely.
TI,Tinkerer,Quatryl,,gloomhaven,030,060,12.0,6.5,1.5,,,,A healing-based support who can play losses to make up for his shortcomings in terms of damage.
DE,Demolitionist,Quatryl,,jaws-of-the-lion,073,109,,,,,,,A melee attacker who destroys obstacles for various attacks.
HA,Hatchet,Inox,,jaws-of-the-lion,001,038,,,,,,,"A ranged attacker who uses their favorite hatchet to do massive damage, but must retrieve it thereafter."
RG,Red Guard,Valrath,,jaws-of-the-lion,215,252,,,,,,,A light- and fire-base tank class who can use a specific card to let their shield cards output damage.
VW,Voidwarden,Human,,jaws-of-the-lion,142,180,,,,,,,An element-based control mage who can force enemies to act or grant their allies actions or other benefits.
IN,Incarnate,Inox,Three-Eyes,trail-of-ashes,488,517,11.0,,,,,,
RH,Rimehearth,Savvas,Ice Meteor,trail-of-ashes,519,547,10.0,,,,,,
SR,Shardrender,Orchid,Gemstone,trail-of-ashes,549,578,11.0,,,,,,
TP,Tempest,Orchid,Lightning Ball,trail-of-ashes,580,608,10.0,,,,,,
TR,Thornreaper,Orchid,Spiked Ring,trail-of-ashes,610,639,11.0,,,,,,
